"endorsement_count","name","perfil_id"
"6","Business Intelligence",54
"6","Business Development",54
"7","Gestão",54
"5","New Business Development",54
"5","Comércio eletrônico",54
"4","Gestão de relação de clientes",54
"4","Relações com os clientes",54
"3","Google Analytics",54
"3","Inteligência empresarial",54
"3","Planejamento empresarial",54
"7","Estratégia empresarial",54
"3","Desenvolvimentos de clientes",54
"18","Mídias sociais",55
"","",55
"","",55
"15","Estratégias de marketing",55
"","",55
"13","Marketing",55
"","",55
"","",55
"11","Planejamento estratégico",55
"10","Publicidade",55
"10","Microsoft Office",55
"8","Marketing digital",55
"7","Social Media Marketing",55
"6","Comunicações de marketing",55
"6","Marketing Communications",55
"5","Social Media",55
"3","Inglês",55
"2","Microsoft PowerPoint",55
"2","Publicidade online",55
"2","Relações públicas",55
"1","Adobe Photoshop",55
"7","Marketing",56
"","",56
"5","Planejamento estratégico",56
"","",56
"5","Marketing digital",56
